Sample,Voltage (V)
0,0.69
1,2.72
2,2.57
3,1.02
4,0.59
5,2.6
6,3.31
7,3.65
8,2.66
9,2.87
10,1.25
11,2.68
12,5.0
13,5.0
14,3.2
15,1.86
16,1.71
17,3.4
18,3.72
19,0.69
20,5.0
21,5.0
22,5.0
23,4.06
24,0.46
25,2.81
26,5.0
27,4.94
28,2.81
29,1.32
30,0.38
31,0.43
32,0.9
33,0.93
34,1.0
35,0.68
36,1.31
37,2.23
38,2.32
39,0.67
40,2.11
41,2.04
42,0.46
43,2.47
44,3.89
45,3.39
46,0.68
47,0.87
48,1.33
49,1.58
50,2.58
51,2.84
52,2.82
53,2.08
54,0.51
55,1.91
56,2.81
57,4.0
58,2.85
59,0.72
60,0.92
61,0.96
62,0.87
63,1.02
64,1.44
65,0.48
66,4.92
67,5.0
68,4.23
69,1.04
70,2.63
71,4.26
72,4.76
73,3.99
74,3.66
75,4.11
76,1.73
77,0.31
78,0.59
79,1.02
80,1.71
81,2.81
82,1.88
83,1.07
84,3.08
85,4.24
86,1.31
87,2.45
88,1.43
89,1.22
90,3.16
91,0.44
92,2.64
93,2.71
94,2.64
95,2.66
96,0.86
97,2.88
98,4.15
99,1.74
100,0.58
101,2.43
102,2.75
103,1.78
104,2.2
105,2.68
106,2.35
107,0.53
108,0.65
109,0.89
110,0.61
111,0.64
112,0.79
113,1.25
114,2.05
115,4.91
116,5.0
117,1.93
118,2.13
119,2.71
120,2.6
121,2.1
122,0.88
123,1.44
124,2.08
125,3.07
126,5.0
127,5.0
128,1.07
129,5.0
130,5.0
131,5.0
132,2.79
133,0.59
134,3.23
135,3.91
136,3.59
137,1.08
138,0.78
139,1.24
140,3.2
141,2.96
142,1.94
143,0.4
144,0.65
145,2.02
146,5.0
147,5.0
148,5.0
149,1.99
150,5.0
151,5.0
152,5.0
153,5.0
154,1.27
155,2.64
156,2.93
157,0.61
158,1.98
159,1.54
160,1.49
161,2.64
162,2.34
163,0.62
164,1.82
165,0.62
166,2.61
167,4.54
168,2.86
169,0.83
170,0.43
171,2.54
172,5.0
173,3.67
174,1.46
175,2.91
176,5.0
177,5.0
178,2.07
179,0.65
180,2.04
181,3.15
182,5.0
183,4.56
184,1.73
185,1.01
186,0.64
187,1.76
188,1.9
189,0.54
190,3.18
191,5.0
192,5.0
193,5.0
194,4.76
195,1.3
196,5.0
197,4.03
198,5.0
199,4.79
200,1.78
201,0.69
202,3.77
203,3.36
204,2.29
205,0.39
206,0.35
207,0.61
208,0.79
209,0.99
210,2.16
211,2.67
212,2.39
213,1.49
214,2.31
215,2.54
216,1.04
217,0.65
218,3.03
219,4.26
220,5.0
221,5.0
222,5.0
223,2.11
224,3.04
225,5.0
226,5.0
227,5.0
228,4.52
229,1.12
230,5.0
231,5.0
232,2.72
233,1.38
234,1.69
235,1.45
236,2.01
237,5.0
238,5.0
239,1.04
240,0.39
241,0.5
242,0.48
243,1.23
244,1.51
245,0.6
246,2.57
247,3.7
248,4.13
249,3.56
250,0.52
251,2.79
252,2.46
253,2.21
254,1.3
255,0.89
256,0.47
257,1.53
258,0.42
259,1.58
260,2.22
261,1.03
262,3.46
263,2.98
264,2.84
265,4.67
266,3.11
267,0.65
268,0.86
269,2.18
270,2.37
271,3.46
272,1.8
273,0.87
274,1.05
275,2.24
276,4.07
277,2.97
278,0.92
279,3.91
280,5.0
281,5.0
282,0.62
283,3.69
284,5.0
285,5.0
286,3.85
287,3.21
288,0.91
289,4.13
290,4.29
291,1.27
292,2.99
293,4.83
294,2.95
295,1.22
296,1.96
297,0.47
298,3.7
299,5.0
300,5.0
301,5.0
302,5.0
303,4.6
304,1.15
305,5.0
306,5.0
307,1.82
308,1.27
309,3.75
310,2.21
311,2.48
312,5.0
313,4.88
314,2.99
315,1.59
316,2.55
317,3.68
318,3.26
319,0.45
320,4.06
321,2.56
322,0.87
323,2.17
324,2.4
325,3.25
326,4.33
327,3.33
328,0.46
329,1.14
330,3.37
331,3.14
332,2.07
333,3.29
334,1.26
335,1.3
336,4.71
337,5.0
338,5.0
339,2.57
340,4.32
341,3.68
342,4.02
343,3.58
344,1.88
345,3.12
346,3.67
347,2.39
348,1.23
349,1.34
350,2.51
351,2.23
352,2.73
353,4.88
354,2.69
355,0.92
356,2.73
357,5.0
358,4.87
359,3.61
360,3.57
361,1.2
362,3.51
363,5.0
364,5.0
365,5.0
366,0.95
367,5.0
368,2.72
369,1.69
370,4.66
371,4.34
372,2.95
373,0.54
374,1.56
